LON,LAT
-77.86206739,34.0301376
-77.74712489,34.24146017
-77.51723988,34.39995209
-77.37930887,34.52322358
-77.12643536,34.59366444
-76.89655034,34.66410529
-76.66666533,34.64649508
-76.52873433,34.57605422
-76.36781482,34.71693593
-76.27586081,34.91064828
-76.0689643,35.03391978
-75.83907929,35.10436063
-75.56321728,35.17480148
-75.44827477,35.36851383
-75.51724028,35.65027725
-75.58620578,35.8439896
-75.72413679,36.02009174
-75.79310229,36.2314143
-75.86206779,36.47795729
-75.9310333,36.67166964
-75.9999988,36.84777177
-75.9080448,37.09431476
-75.72413679,37.2704169
-75.58620578,37.42890882
-75.49425177,37.72828245
-75.31034377,37.99243565
-75.17241276,38.186148
-75.08045875,38.45030121
-75.03448175,38.62640334
-75.01149325,38.80250548
-74.82758524,38.94338719
-74.62068873,39.2251506
-74.34482672,39.36603231
-74.16091871,39.55974466
-74.0459762,39.92955915
-73.9770107,40.21132256
-73.9770107,40.42264513
-73.83907969,40.56352683
-73.51724068,40.61635747
-73.12643616,40.6515779
-72.82758564,40.72201876
-72.52873513,40.79245961
-72.22988461,40.95095153
-71.86206859,41.05661281
-71.70114908,41.3031558
-71.37931007,41.4264273
-71.14942506,41.47925794
-70.87356304,41.46164773
-70.43678152,41.56730901
-70.091954,41.67297029
-69.954023,41.65536007
-69.9770115,41.90190306
-70.13793101,42.02517456
-70.13793101,41.83146221
-70.41379302,41.74341114
-70.59770103,41.86668264
-70.68965503,42.02517456
-70.78160904,42.21888691
-70.98850555,42.35976862
-70.78160904,42.51826054
-70.59770103,42.62392182
-70.82758604,42.87046481
-70.64367803,43.08178737
-70.43678152,43.32833036
-70.27586201,43.57487335
-70.11494251,43.78619592
-69.83908049,43.75097549
-69.56321848,43.87424698
-69.21839096,43.92707762
-69.03448295,44.12078997
-68.71264394,44.17362061
-68.50574743,44.2792819
-68.22988541,44.22645125
-68.0459774,44.34972275
-67.83908089,44.40255339
-67.58620738,44.50821467
-67.37931087,44.59626574
-67.12643736,44.64909638
-66.96551785,44.77236787
-66.85057534,45.05413129
-66.48275932,45.07174151
-66.13793181,45.21262321
-65.9310353,45.24784364
-65.56321928,45.3182845
-65.24138026,45.4591662
-64.91954125,45.56482749
-64.85057574,45.35350492
-64.68965623,45.21262321
-65.01149525,45.08935172
-65.35632277,44.87802916
-65.63218478,44.75475766
-65.86206979,44.63148617
-66.0919548,44.47299424
-66.18390881,44.1560104
-66.11494331,43.83902656
-66.0229893,43.71575506
-65.81609279,43.68053463
-65.67816178,43.52204271
-65.47126527,43.52204271
-65.31034577,43.61009378
-65.01149525,43.71575506
-64.82758724,43.92707762
-64.52873673,44.08556955
-64.29885172,44.24406147
-64.34482872,44.50821467
-64.0689667,44.52582489
-63.65517368,44.45538403
-63.35632317,44.64909638
-63.01149565,44.71953723
-62.66666813,44.82519852
-62.34482912,44.87802916
-62.0229901,45.01891086
